"","id","Civilite","Age","EpouseFrat","ParentsEnf","Classe","Survie","Prix","PortEmbarq","Sexe","Sexe_modif"
"111","id1099","Miss",3,3,1,"3",0,"21.075","S","Femme","Enfant"
"112","id11","ColM",47,1,0,"1",0,"227.525","C","Homme","Homme"
"113","id110","Mr",36,0,0,"1",1,"26.3875","S","Homme","Homme"
"114","id1100","Miss",8,3,1,"3",0,"21.075","S","Femme","Enfant"
"115","id1101","Mrs",29,0,4,"3",0,"21.075","S","Femme","Femme"
"116","id1102","Master",1,4,1,"3",0,"39.6875","S","Homme","Enfant"
"117","id1103","Master",7,4,1,"3",0,"39.6875","S","Homme","Enfant"
"118","id1104","Master",2,4,1,"3",0,"39.6875","S","Homme","Enfant"
"119","id1105","Mr",16,4,1,"3",0,"39.6875","S","Homme","Homme"
"120","id1106","Mr",14,4,1,"3",0,"39.6875","S","Homme","Homme"
"121","id1107","Mrs",41,0,5,"3",0,"39.6875","S","Femme","Femme"
"122","id1108","Mr",21,0,0,"3",0,"8.6625","S","Homme","Homme"
"123","id1109","Mr",19,0,0,"3",0,"14.5","S","Homme","Homme"
"124","id111","Mr",30,0,0,"1",0,"27.75","C","Homme","Homme"
"126","id1111","Mr",32,0,0,"3",0,"7.8958","S","Homme","Homme"
"127","id1112","Master",0.75,1,1,"3",0,"13.775","S","Homme","Enfant"
"128","id1113","Miss",3,1,1,"3",0,"13.775","S","Femme","Enfant"
"129","id1114","Mrs",26,0,2,"3",0,"13.775","S","Femme","Femme"
"133","id1118","Mr",21,0,0,"3",0,"7.925","S","Homme","Homme"
"134","id1119","Mr",25,0,0,"3",0,"7.925","S","Homme","Homme"
"135","id112","Miss",24,3,2,"1",1,"263","S","Femme","Femme"
"136","id1120","Mr",22,0,0,"3",0,"7.25","S","Homme","Homme"
"137","id1121","Mr",25,1,0,"3",1,"7.775","S","Homme","Homme"
"142","id1126","Mr",24,0,0,"3",0,"8.05","S","Homme","Homme"
"143","id1127","Miss",28,0,0,"3",0,"7.8958","S","Femme","Femme"
"144","id1128","Mr",19,0,0,"3",0,"7.8958","S","Homme","Homme"
"146","id113","Miss",28,3,2,"1",1,"263","S","Femme","Femme"
"147","id1130","Mr",25,1,0,"3",0,"7.775","S","Homme","Homme"
"148","id1131","Miss",18,0,0,"3",0,"7.775","S","Femme","Femme"
"149","id1132","Mr",32,0,0,"3",1,"8.05","S","Homme","Homme"
"151","id1134","Mr",17,0,0,"3",0,"8.6625","S","Homme","Homme"
"152","id1135","Mr",24,0,0,"3",0,"8.6625","S","Homme","Homme"
"157","id114","Miss",23,3,2,"1",1,"263","S","Femme","Femme"
"158","id1140","Mr",38,0,0,"3",0,"7.8958","S","Homme","Homme"
"159","id1141","Mr",21,0,0,"3",0,"8.05","S","Homme","Homme"
"160","id1142","Master",10,4,1,"3",0,"29.125","Q","Homme","Enfant"
"161","id1143","Master",4,4,1,"3",0,"29.125","Q","Homme","Enfant"
"162","id1144","Master",7,4,1,"3",0,"29.125","Q","Homme","Enfant"
"163","id1145","Master",2,4,1,"3",0,"29.125","Q","Homme","Enfant"
"164","id1146","Master",8,4,1,"3",0,"29.125","Q","Homme","Enfant"
"165","id1147","Mrs",39,0,5,"3",0,"29.125","Q","Femme","Femme"
"166","id1148","Miss",22,0,0,"3",0,"39.6875","S","Femme","Femme"
"167","id1149","Mr",35,0,0,"3",0,"7.125","S","Homme","Homme"
"168","id115","Mr",19,3,2,"1",0,"263","S","Homme","Homme"
"172","id1153","Mr",50,1,0,"3",0,"14.5","S","Homme","Homme"
"173","id1154","Mrs",47,1,0,"3",0,"14.5","S","Femme","Femme"
"176","id1157","Miss",2,1,1,"3",0,"20.2125","S","Femme","Enfant"
"177","id1158","Mr",18,1,1,"3",0,"20.2125","S","Homme","Homme"
"178","id1159","Mrs",41,0,2,"3",0,"20.2125","S","Femme","Femme"
"179","id116","Mr",64,1,4,"1",0,"263","S","Homme","Homme"
"181","id1161","Mr",50,0,0,"3",0,"8.05","S","Homme","Homme"
"182","id1162","Mr",16,0,0,"3",0,"8.05","S","Homme","Homme"
"186","id1166","Mr",25,0,0,"3",0,"7.225","C","Homme","Homme"
"190","id117","Mrs",60,1,4,"1",1,"263","S","Femme","Femme"
"191","id1170","Mr",38.5,0,0,"3",0,"7.25","S","Homme","Homme"
"193","id1172","Master",14.5,8,2,"3",0,"69.55","S","Homme","Homme"
"201","id118","Miss",30,0,0,"1",1,"56.9292","C","Femme","Femme"
"204","id1182","Mr",24,0,0,"3",0,"9.325","S","Homme","Homme"
"205","id1183","Miss",21,0,0,"3",1,"7.65","S","Femme","Femme"
"206","id1184","Mr",39,0,0,"3",0,"7.925","S","Homme","Homme"
"210","id1188","Miss",1,1,1,"3",1,"16.7","S","Femme","Enfant"
"211","id1189","Mrs",24,0,2,"3",1,"16.7","S","Femme","Femme"
"213","id1190","Miss",4,1,1,"3",1,"16.7","S","Femme","Enfant"
"214","id1191","Mr",25,0,0,"3",1,"9.5","S","Homme","Homme"
"215","id1192","Mr",20,0,0,"3",0,"8.05","S","Homme","Homme"
"216","id1193","Mr",24.5,0,0,"3",0,"8.05","S","Homme","Homme"
"220","id1197","Mr",29,0,0,"3",1,"9.5","S","Homme","Homme"
"223","id12","Mrs",18,1,0,"1",1,"227.525","C","Femme","Femme"
"224","id120","DrM",50,2,0,"1",1,"133.65","S","Homme","Homme"
"227","id1202","Mr",22,0,0,"3",0,"7.2292","C","Homme","Homme"
"229","id1204","Mr",40,0,0,"3",0,"7.8958","S","Homme","Homme"
"230","id1205","Mr",21,0,0,"3",0,"7.925","S","Homme","Homme"
"231","id1206","Miss",18,0,0,"3",1,"7.4958","S","Femme","Femme"
"232","id1207","Master",4,3,2,"3",0,"27.9","S","Homme","Enfant"
"233","id1208","Master",10,3,2,"3",0,"27.9","S","Homme","Enfant"
"234","id1209","Miss",9,3,2,"3",0,"27.9","S","Femme","Enfant"
"235","id121","Mr",43,1,0,"1",1,"27.7208","C","Homme","Homme"
"236","id1210","Miss",2,3,2,"3",0,"27.9","S","Femme","Enfant"
"237","id1211","Mr",40,1,4,"3",0,"27.9","S","Homme","Homme"
"238","id1212","Mrs",45,1,4,"3",0,"27.9","S","Femme","Femme"
"244","id1218","Mr",19,0,0,"3",0,"7.65","S","Homme","Homme"
"245","id1219","Mr",30,0,0,"3",0,"8.05","S","Homme","Homme"
"248","id1221","Mr",32,0,0,"3",0,"8.05","S","Homme","Homme"
"250","id1223","Mr",33,0,0,"3",0,"8.6625","C","Homme","Homme"
"251","id1224","Miss",23,0,0,"3",1,"7.55","S","Femme","Femme"
"252","id1225","Mr",21,0,0,"3",0,"8.05","S","Homme","Homme"
"253","id1226","Mr",19,0,0,"3",0,"7.8958","S","Homme","Homme"
"254","id1227","Miss",22,0,0,"3",0,"9.8375","S","Femme","Femme"
"255","id1228","Mr",31,0,0,"3",1,"7.925","S","Homme","Homme"
"256","id1229","Mr",27,0,0,"3",0,"8.6625","S","Homme","Homme"
"257","id123","Miss",22,0,2,"1",1,"49.5","C","Femme","Femme"
"258","id1230","Miss",2,0,1,"3",0,"10.4625","S","Femme","Enfant"
"259","id1231","Mrs",29,1,1,"3",0,"10.4625","S","Femme","Femme"
"260","id1232","Mr",16,0,0,"3",1,"8.05","S","Homme","Homme"
"261","id1233","Mr",44,0,0,"3",1,"7.925","S","Homme","Homme"
"262","id1234","Mr",25,0,0,"3",0,"7.05","S","Homme","Homme"
"263","id1235","Mr",74,0,0,"3",0,"7.775","S","Homme","Homme"
"264","id1236","Mr",14,0,0,"3",1,"9.225","S","Homme","Homme"
"265","id1237","Mr",24,0,0,"3",0,"7.7958","S","Homme","Homme"
"266","id1238","Mr",25,0,0,"3",1,"7.7958","S","Homme","Homme"
"267","id1239","Mr",34,0,0,"3",0,"8.05","S","Homme","Homme"
"268","id124","Mr",60,1,1,"1",1,"79.2","C","Homme","Homme"
"269","id1240","Master",0.4167,0,1,"3",1,"8.5167","C","Homme","Enfant"
"273","id1244","Mrs",16,1,1,"3",1,"8.5167","C","Femme","Femme"
"277","id1248","Mr",32,0,0,"3",0,"7.925","S","Homme","Homme"
"279","id125","Mrs",48,1,1,"1",1,"79.2","C","Femme","Femme"
"281","id1251","Mr",30.5,0,0,"3",0,"8.05","S","Homme","Homme"
"282","id1252","Mr",44,0,0,"3",0,"8.05","S","Homme","Homme"
"284","id1254","Mr",25,0,0,"3",1,"0","S","Homme","Homme"
"286","id1256","Master",7,1,1,"3",1,"15.2458","C","Homme","Enfant"
"287","id1257","Miss",9,1,1,"3",1,"15.2458","C","Femme","Enfant"
"288","id1258","Mrs",29,0,2,"3",1,"15.2458","C","Femme","Femme"
"289","id1259","Mr",36,0,0,"3",0,"7.8958","S","Homme","Homme"
"291","id1260","Miss",18,0,0,"3",1,"9.8417","S","Femme","Femme"
"292","id1261","Mrs",63,0,0,"3",1,"9.5875","S","Femme","Femme"
"294","id1263","Master",11.5,1,1,"3",0,"14.5","S","Homme","Enfant"
"295","id1264","Mr",40.5,0,2,"3",0,"14.5","S","Homme","Homme"
"296","id1265","Miss",10,0,2,"3",0,"24.15","S","Femme","Enfant"
"297","id1266","Mr",36,1,1,"3",0,"24.15","S","Homme","Homme"
"298","id1267","Mrs",30,1,1,"3",0,"24.15","S","Femme","Femme"
"300","id1269","Mr",33,0,0,"3",0,"9.5","S","Homme","Homme"
"301","id127","Mr",37,1,0,"1",0,"53.1","S","Homme","Homme"
"302","id1270","Mr",28,0,0,"3",0,"9.5","S","Homme","Homme"
"303","id1271","Mr",28,0,0,"3",0,"9.5","S","Homme","Homme"
"304","id1272","Mr",47,0,0,"3",0,"9","S","Homme","Homme"
"305","id1273","Miss",18,2,0,"3",0,"18","S","Femme","Femme"
"306","id1274","Mr",31,3,0,"3",0,"18","S","Homme","Homme"
"307","id1275","Mr",16,2,0,"3",0,"18","S","Homme","Homme"
"308","id1276","Mrs",31,1,0,"3",0,"18","S","Femme","Femme"
"309","id1277","Mr",22,0,0,"3",1,"7.225","C","Homme","Homme"
"310","id1278","Mr",20,0,0,"3",0,"7.8542","S","Homme","Homme"
"311","id1279","Miss",14,0,0,"3",0,"7.8542","S","Femme","Femme"
"312","id128","Mrs",35,1,0,"1",1,"53.1","S","Femme","Femme"
"313","id1280","Mr",22,0,0,"3",0,"7.8958","S","Homme","Homme"
"314","id1281","Mr",22,0,0,"3",0,"9","S","Homme","Homme"
"318","id1285","Mr",32.5,0,0,"3",0,"9.5","S","Homme","Homme"
"319","id1286","Mrs",38,0,0,"3",1,"7.2292","C","Femme","Femme"
"320","id1287","Mr",51,0,0,"3",0,"7.75","S","Homme","Homme"
"321","id1288","Mr",18,1,0,"3",0,"6.4958","S","Homme","Homme"
"322","id1289","Mr",21,1,0,"3",0,"6.4958","S","Homme","Homme"
"323","id129","Mr",47,0,0,"1",0,"38.5","S","Homme","Homme"
"324","id1290","Mrs",47,1,0,"3",1,"7","S","Femme","Femme"
"328","id1294","Mr",28.5,0,0,"3",0,"16.1","S","Homme","Homme"
"329","id1295","Mr",21,0,0,"3",0,"7.25","S","Homme","Homme"
"330","id1296","Mr",27,0,0,"3",0,"8.6625","S","Homme","Homme"
"332","id1298","Mr",36,0,0,"3",0,"9.5","S","Homme","Homme"
"333","id1299","Mr",27,1,0,"3",0,"14.4542","C","Homme","Homme"
"334","id13","Mme",24,0,0,"1",1,"69.3","C","Femme","Femme"
"335","id130","Miss",35,0,0,"1",1,"211.5","C","Femme","Femme"
"336","id1300","Mrs",15,1,0,"3",1,"14.4542","C","Femme","Femme"
"337","id1301","Mr",45.5,0,0,"3",0,"7.225","C","Homme","Homme"
"340","id1304","Miss",14.5,1,0,"3",0,"14.4542","C","Femme","Femme"
"342","id1306","Mr",26.5,0,0,"3",0,"7.225","C","Homme","Homme"
"343","id1307","Mr",27,0,0,"3",0,"7.225","C","Homme","Homme"
"344","id1308","Mr",29,0,0,"3",0,"7.875","S","Homme","Homme"
"345","id131","Miss",22,0,1,"1",1,"59.4","C","Femme","Femme"
"346","id132","Mrs",45,0,1,"1",1,"59.4","C","Femme","Femme"
"347","id133","Mr",24,0,0,"1",0,"79.2","C","Homme","Homme"
"348","id134","Mr",49,1,0,"1",1,"89.1042","C","Homme","Homme"
"350","id136","Mr",71,0,0,"1",0,"34.6542","C","Homme","Homme"
"351","id137","ColM",53,0,0,"1",1,"28.5","C","Homme","Homme"
"352","id138","Miss",19,0,0,"1",1,"30","S","Femme","Femme"
"353","id139","Mr",38,0,1,"1",0,"153.4625","S","Homme","Homme"
"354","id14","Miss",26,0,0,"1",1,"78.85","S","Femme","Femme"
"355","id140","Mrs",58,0,1,"1",1,"153.4625","S","Femme","Femme"
"356","id141","Mr",23,0,1,"1",1,"63.3583","C","Homme","Homme"
"357","id142","Mrs",45,0,1,"1",1,"63.3583","C","Femme","Femme"
"358","id143","Mr",46,0,0,"1",0,"79.2","C","Homme","Homme"
"359","id144","Mr",25,1,0,"1",1,"55.4417","C","Homme","Homme"
"360","id145","Mrs",25,1,0,"1",1,"55.4417","C","Femme","Femme"
"361","id146","Mr",48,1,0,"1",1,"76.7292","C","Homme","Homme"
"362","id147","Mrs",49,1,0,"1",1,"76.7292","C","Femme","Femme"
"364","id149","Mr",45,1,0,"1",0,"83.475","S","Homme","Homme"
"365","id15","Mr",80,0,0,"1",1,"30","S","Homme","Homme"
"366","id150","Mrs",35,1,0,"1",1,"83.475","S","Femme","Femme"
"367","id151","Mr",40,0,0,"1",0,"0","S","Homme","Homme"
"368","id152","Mr",27,0,0,"1",1,"76.7292","C","Homme","Homme"
"370","id154","Miss",24,0,0,"1",1,"83.1583","C","Femme","Femme"
"371","id155","Mr",55,1,1,"1",0,"93.5","S","Homme","Homme"
"372","id156","Mrs",52,1,1,"1",1,"93.5","S","Femme","Femme"
"373","id157","Mr",42,0,0,"1",0,"42.5","S","Homme","Homme"
"375","id159","Mr",55,0,0,"1",0,"50","S","Homme","Homme"
"377","id160","Miss",16,0,1,"1",1,"57.9792","C","Femme","Femme"
"378","id161","Mrs",44,0,1,"1",1,"57.9792","C","Femme","Femme"
"379","id162","Mrs",51,1,0,"1",1,"77.9583","S","Femme","Femme"
"380","id163","Mr",42,1,0,"1",0,"52","S","Homme","Homme"
"381","id164","Mrs",35,1,0,"1",1,"52","S","Femme","Femme"
"382","id165","Mr",35,0,0,"1",1,"26.55","C","Homme","Homme"
"383","id166","Mr",38,1,0,"1",1,"90","S","Homme","Homme"
"385","id168","Mrs",35,1,0,"1",1,"90","S","Femme","Femme"
"386","id169","Miss",38,0,0,"1",1,"80",NA,"Femme","Femme"
"387","id17","Mr",24,0,1,"1",0,"247.5208","C","Homme","Homme"
"388","id170","Miss",50,0,0,"1",0,"28.7125","C","Femme","Femme"
"389","id171","Mr",49,0,0,"1",1,"0","S","Homme","Homme"
"390","id172","Mr",46,0,0,"1",0,"26","S","Homme","Homme"
"391","id173","Mr",50,0,0,"1",0,"26","S","Homme","Homme"
"392","id174","Mr",32.5,0,0,"1",0,"211.5","C","Homme","Homme"
"393","id175","Mr",58,0,0,"1",0,"29.7","C","Homme","Homme"
"394","id176","Mr",41,1,0,"1",0,"51.8625","S","Homme","Homme"
"396","id178","Mr",42,1,0,"1",1,"52.5542","S","Homme","Homme"
"397","id179","Mrs",45,1,0,"1",1,"52.5542","S","Femme","Femme"
"398","id18","Mrs",50,0,1,"1",1,"247.5208","C","Femme","Femme"
"400","id181","Miss",39,0,0,"1",1,"211.3375","S","Femme","Femme"
"401","id182","DrF",49,0,0,"1",1,"25.9292","S","Femme","Femme"
"402","id183","Miss",30,0,0,"1",1,"106.425","C","Femme","Femme"
"403","id184","Mr",35,0,0,"1",1,"512.3292","C","Homme","Homme"
"405","id186","Mr",42,0,0,"1",0,"26.55","S","Homme","Homme"
"406","id187","Mrs",55,0,0,"1",1,"27.7208","C","Femme","Femme"
"407","id188","Miss",16,0,1,"1",1,"39.4","S","Femme","Femme"
"408","id189","Mrs",51,0,1,"1",1,"39.4","S","Femme","Femme"
"409","id19","Miss",32,0,0,"1",1,"76.2917","C","Femme","Femme"
"410","id190","Mr",29,0,0,"1",0,"30","S","Homme","Homme"
"411","id191","Miss",21,0,0,"1",1,"77.9583","S","Femme","Femme"
"412","id192","Mr",30,0,0,"1",0,"45.5","S","Homme","Homme"
"413","id193","Miss",58,0,0,"1",1,"146.5208","C","Femme","Femme"
"414","id194","Miss",15,0,1,"1",1,"211.3375","S","Femme","Femme"
"415","id195","Mr",30,0,0,"1",0,"26","S","Homme","Homme"
"416","id196","Miss",16,0,0,"1",1,"86.5","S","Femme","Femme"
"418","id198","Mr",19,1,0,"1",0,"53.1","S","Homme","Homme"
"419","id199","Mrs",18,1,0,"1",1,"53.1","S","Femme","Femme"
"420","id2","Master",0.9167,1,2,"1",1,"151.55","S","Homme","Enfant"
"421","id20","Mr",36,0,0,"1",0,"75.2417","C","Homme","Homme"
"422","id200","Mlle",24,0,0,"1",1,"49.5042","C","Femme","Femme"
"423","id201","Mr",46,0,0,"1",0,"75.2417","C","Homme","Homme"
"424","id202","Mr",54,0,0,"1",0,"51.8625","S","Homme","Homme"
"425","id203","Mr",36,0,0,"1",1,"26.2875","S","Homme","Homme"
"426","id204","Mr",28,1,0,"1",0,"82.1708","C","Homme","Homme"
"428","id206","Mr",65,0,0,"1",0,"26.55","S","Homme","Homme"
"429","id207","DrM",44,2,0,"1",0,"90","Q","Homme","Homme"
"430","id208","Miss",33,1,0,"1",1,"90","Q","Femme","Femme"
"431","id209","Mrs",37,1,0,"1",1,"90","Q","Femme","Femme"
"432","id21","Mr",37,1,1,"1",1,"52.5542","S","Homme","Homme"
"433","id210","Mr",30,1,0,"1",1,"57.75","C","Homme","Homme"
"434","id211","Mr",55,0,0,"1",0,"30.5","S","Homme","Homme"
"435","id212","Mr",47,0,0,"1",0,"42.4","S","Homme","Homme"
"436","id213","Mr",37,0,1,"1",0,"29.7","C","Homme","Homme"
"437","id214","Miss",31,1,0,"1",1,"113.275","C","Femme","Femme"
"438","id215","Miss",23,1,0,"1",1,"113.275","C","Femme","Femme"
"439","id216","Mr",58,0,2,"1",0,"113.275","C","Homme","Homme"
"440","id217","Miss",19,0,2,"1",1,"26.2833","S","Femme","Femme"
"441","id218","Mr",64,0,0,"1",0,"26","S","Homme","Homme"
"442","id219","Dona",39,0,0,"1",1,"108.9","C","Femme","Femme"
"443","id22","Mrs",47,1,1,"1",1,"52.5542","S","Femme","Femme"
"445","id221","Miss",22,0,1,"1",1,"61.9792","C","Femme","Femme"
"446","id222","Mr",65,0,1,"1",0,"61.9792","C","Homme","Homme"
"447","id223","Mr",28.5,0,0,"1",0,"27.7208","C","Homme","Homme"
"449","id225","Mr",45.5,0,0,"1",0,"28.5","S","Homme","Homme"
"450","id226","Mr",23,0,0,"1",0,"93.5","S","Homme","Homme"
"451","id227","Mr",29,1,0,"1",0,"66.6","S","Homme","Homme"
"452","id228","Mrs",22,1,0,"1",1,"66.6","S","Femme","Femme"
"453","id229","Mr",18,1,0,"1",0,"108.9","C","Homme","Homme"
"454","id23","Mr",26,0,0,"1",1,"30","C","Homme","Homme"
"455","id230","Mrs",17,1,0,"1",1,"108.9","C","Femme","Femme"
"456","id231","Miss",30,0,0,"1",1,"93.5","S","Femme","Femme"
"457","id232","Major",52,0,0,"1",1,"30.5","S","Homme","Homme"
"458","id233","Mr",47,0,0,"1",0,"52","S","Homme","Homme"
"459","id234","Mrs",56,0,1,"1",1,"83.1583","C","Femme","Femme"
"460","id235","",38,0,0,"1",0,"0","S","Inconnu","Femme"
"462","id237","Mr",22,0,0,"1",0,"135.6333","C","Homme","Homme"
"464","id239","Mrs",43,0,1,"1",1,"211.3375","S","Femme","Femme"
"465","id24","Miss",42,0,0,"1",1,"227.525","C","Femme","Femme"
"466","id240","Mr",31,0,0,"1",0,"50.4958","S","Homme","Homme"
"467","id241","Mr",45,0,0,"1",1,"26.55","S","Homme","Homme"
"469","id243","Miss",33,0,0,"1",1,"27.7208","C","Femme","Femme"
"470","id244","Mr",46,0,0,"1",0,"79.2","C","Homme","Homme"
"471","id245","Mr",36,0,0,"1",0,"40.125","C","Homme","Homme"
"472","id246","",33,0,0,"1",1,"86.5","S","Inconnu","Femme"
"473","id247","Mr",55,1,0,"1",0,"59.4","C","Homme","Homme"
"474","id248","Mrs",54,1,0,"1",1,"59.4","C","Femme","Femme"
"475","id249","Mr",33,0,0,"1",0,"26.55","S","Homme","Homme"
"476","id25","Miss",29,0,0,"1",1,"221.7792","S","Femme","Femme"
"477","id250","Master",13,2,2,"1",1,"262.375","C","Homme","Homme"
"478","id251","Miss",18,2,2,"1",1,"262.375","C","Femme","Femme"
"479","id252","Miss",21,2,2,"1",1,"262.375","C","Femme","Femme"
"480","id253","Mr",61,1,3,"1",0,"262.375","C","Homme","Homme"
"481","id254","Mrs",48,1,3,"1",1,"262.375","C","Femme","Femme"
"483","id256","Mlle",24,0,0,"1",1,"69.3","C","Femme","Femme"
"485","id258","Mrs",35,1,0,"1",1,"57.75","C","Femme","Femme"
"486","id259","Miss",30,0,0,"1",1,"31","C","Femme","Femme"
"487","id26","Mr",25,0,0,"1",0,"26","C","Homme","Homme"
"488","id260","Mr",34,0,0,"1",1,"26.55","S","Homme","Homme"
"489","id261","Miss",40,0,0,"1",1,"153.4625","S","Femme","Femme"
"490","id262","Mr",35,0,0,"1",1,"26.2875","S","Homme","Homme"
"491","id263","Mr",50,1,0,"1",0,"55.9","S","Homme","Homme"
"492","id264","Mrs",39,1,0,"1",1,"55.9","S","Femme","Femme"
"493","id265","ColM",56,0,0,"1",1,"35.5","C","Homme","Homme"
"494","id266","Mr",28,0,0,"1",1,"35.5","S","Homme","Homme"
"495","id267","Mr",56,0,0,"1",0,"26.55","S","Homme","Homme"
"496","id268","Mr",56,0,0,"1",0,"30.6958","C","Homme","Homme"
"497","id269","Mr",24,1,0,"1",0,"60","S","Homme","Homme"
"498","id27","Mr",25,1,0,"1",1,"91.0792","C","Homme","Homme"
"500","id271","Mrs",18,1,0,"1",1,"60","S","Femme","Femme"
"501","id272","Mr",24,1,0,"1",1,"82.2667","S","Homme","Homme"
"502","id273","Mrs",23,1,0,"1",1,"82.2667","S","Femme","Femme"
"503","id274","Master",6,0,2,"1",1,"134.5","C","Homme","Enfant"
"504","id275","Mr",45,1,1,"1",1,"134.5","C","Homme","Homme"
"505","id276","Mrs",40,1,1,"1",1,"134.5","C","Femme","Femme"
"506","id277","Mr",57,1,0,"1",0,"146.5208","C","Homme","Homme"
"508","id279","DrM",32,0,0,"1",1,"30.5","C","Homme","Homme"
"509","id28","Mrs",19,1,0,"1",1,"91.0792","C","Femme","Femme"
"510","id280","Mr",62,0,0,"1",0,"26.55","S","Homme","Homme"
"511","id281","Mr",54,1,0,"1",1,"55.4417","C","Homme","Homme"
"512","id282","Mrs",43,1,0,"1",1,"55.4417","C","Femme","Femme"
"513","id283","Mrs",52,1,0,"1",1,"78.2667","C","Femme","Femme"
"515","id285","Mrs",62,0,0,"1",1,"80",NA,"Femme","Femme"
"516","id286","Mr",67,1,0,"1",0,"221.7792","S","Homme","Homme"
"517","id287","Mrs",63,1,0,"1",0,"221.7792","S","Femme","Femme"
